origin_tts2022,destination_tts2022,trip_count,distance_between_taz_km,vkt,distance_total,total_vkt_reduced,total_co2_reduced_daily_g,yearly_co2_reduced_g,yearly_co2_reduced_tonnes
6173,6182,618.0,2.878624543201942,1778.9899676988002,1778.9899676988002,355.79799353976006,73294.38666919057,21988316.000757173,21.988316000757173
6182,6173,594.0,2.849419220936318,1692.5550172361727,1692.5550172361727,338.51100344723454,69733.26671013032,20919980.013039097,20.919980013039098
6220,6238,509.0,2.899879940299365,1476.0388896123768,1476.0388896123768,295.2077779224754,60812.80225202993,18243840.675608978,18.24384067560898
6197,6202,459.0,4.536359536034321,2082.1890270397535,2082.1890270397535,416.4378054079507,85786.18791403784,25735856.374211352,25.73585637421135
6256,6171,441.0,2.632847420988392,1161.0857126558808,1161.0857126558808,232.21714253117617,47836.73136142229,14351019.408426687,14.351019408426687
6238,6220,435.0,2.551819332389209,1110.0414095893059,1110.0414095893059,222.00828191786118,45733.706075079404,13720111.822523821,13.72011182252382
6225,6247,416.0,3.255735644573287,1354.3860281424872,1354.3860281424872,270.87720562849745,55800.704359470474,16740211.307841143,16.740211307841143
6247,6225,406.0,3.214936962848588,1305.264406916527,1305.264406916527,261.0528813833054,53776.89356496092,16133068.069488276,16.133068069488274
6189,6223,383.0,2.834743264961444,1085.706670480233,1085.706670480233,217.14133409604662,44731.1148237856,13419334.447135681,13.41933444713568
6179,6197,365.0,5.727155665129041,2090.4118177721,2090.4118177721,418.08236355442006,86124.96689221053,25837490.06766316,25.837490067663158
6171,6256,364.0,2.631233804045032,957.7691046723916,957.7691046723916,191.55382093447832,39460.08711250254,11838026.13375076,11.83802613375076
6182,6125,360.0,2.044970755248624,736.1894718895046,736.1894718895046,147.23789437790091,30331.00624184759,9099301.872554276,9.099301872554276
6220,6195,360.0,4.828847358168408,1738.385048940627,1738.385048940627,347.6770097881254,71621.46401635384,21486439.204906154,21.486439204906155
6223,6189,356.0,2.834750894355976,1009.1713183907275,1009.1713183907275,201.8342636781455,41577.858317697974,12473357.495309392,12.473357495309392
6195,6220,351.0,4.782151648939894,1678.5352287779026,1678.5352287779026,335.70704575558057,69155.6514256496,20746695.42769488,20.74669542769488
6225,6222,350.0,5.801201347988171,2030.42047179586,2030.42047179586,406.084094359172,83653.32343798943,25095997.03139683,25.095997031396827
6171,6199,334.0,3.725293323290715,1244.2479699790988,1244.2479699790988,248.84959399581976,51263.01636313887,15378904.908941662,15.378904908941662
6171,6202,323.0,4.144846341159907,1338.78536819465,1338.78536819465,267.75707363892997,55157.95716961957,16547387.15088587,16.54738715088587
6178,6182,321.0,2.102206473022061,674.8082778400816,674.8082778400816,134.9616555680163,27802.10104701136,8340630.314103409,8.340630314103409
