origin_tts2022,total_trip_count,total_vkt,total_vkt_reduced_10pct,total_vkt_reduced_20pct,total_vkt_reduced_30pct,total_co2_reduced_daily_g,yearly_co2_reduced_g,yearly_co2_reduced_tonnes
6117,854.0,3573.266358985552,357.3266358985553,714.6532717971106,1071.9799076956656,147218.57399020478,44165572.197061434,44.16557219706144
6118,724.0,2459.035341944912,245.90353419449116,491.8070683889823,737.7106025834735,101312.25608813037,30393676.826439112,30.393676826439112
6123,1339.0,6632.653838250453,663.2653838250455,1326.530767650091,1989.7961514751366,273265.33813591866,81979601.44077562,81.97960144077561
6125,1803.0,8402.12990478803,840.2129904788029,1680.4259809576058,2520.6389714364086,346167.7520772668,103850325.62318005,103.85032562318005
6168,1079.0,5698.565150554067,569.8565150554067,1139.7130301108134,1709.5695451662207,234780.88420282755,70434265.26084828,70.43426526084828
6171,2292.0,8687.713363712763,868.7713363712764,1737.542672742553,2606.314009113829,357933.79058496584,107380137.17548977,107.38013717548976
6173,2864.0,15168.510855602131,1516.851085560213,3033.702171120426,4550.553256680639,624942.6472508078,187482794.17524236,187.48279417524242
6174,988.0,6390.118993801202,639.0118993801203,1278.0237987602407,1917.0356981403609,263272.90254460956,78981870.76338287,78.98187076338286
6177,494.0,3227.854361957242,322.78543619572423,645.5708723914485,968.3563085871725,132987.59971263842,39896279.91379152,39.89627991379151
6178,1544.0,6530.776406042205,653.0776406042204,1306.1552812084408,1959.2329218126617,269067.9879289389,80720396.37868166,80.72039637868164
6179,1888.0,9039.58002900617,903.9580029006175,1807.916005801235,2711.874008701852,372430.6971950543,111729209.1585163,111.72920915851631
6181,1262.0,7812.083113902332,781.2083113902333,1562.4166227804667,2343.6249341706994,321857.8242927761,96557347.28783281,96.55734728783284
6182,2218.0,8162.702101613405,816.2702101613405,1632.540420322681,2448.8106304840217,336303.32658647234,100890997.97594172,100.89099797594172
6184,123.0,915.7094577891711,91.5709457789171,183.1418915578342,274.7128373367513,37727.22966091384,11318168.898274153,11.318168898274154
6185,1758.0,7912.170430527544,791.2170430527545,1582.434086105509,2373.6511291582647,325981.4217377349,97794426.52132046,97.79442652132047
6187,1116.0,6392.524052504572,639.2524052504575,1278.504810500915,1917.757215751372,263371.9909631884,79011597.28895654,79.01159728895652
6188,1229.0,5695.381449487982,569.5381449487983,1139.0762898975966,1708.6144348463938,234649.71571890486,70394914.71567145,70.39491471567145
6189,1665.0,7190.98893650621,719.098893650621,1438.197787301242,2157.296680951863,296268.7441840558,88880623.25521676,88.88062325521673
6190,2085.0,14313.341645243401,1431.3341645243402,2862.6683290486803,4294.00249357302,589709.6757840281,176912902.7352084,176.91290273520846
6193,998.0,5000.573937213799,500.05739372137987,1000.1147874427597,1500.1721811641403,206023.64621320853,61807093.86396255,61.807093863962564
6195,2043.0,11656.547840259092,1165.6547840259097,2331.3095680518195,3496.9643520777277,480249.7710186746,144074931.3056024,144.07493130560238
6196,1574.0,8176.244562964492,817.6244562964492,1635.2489125928985,2452.8733688893467,336861.27599413705,101058382.79824111,101.05838279824111
6197,2186.0,11366.054356203114,1136.605435620312,2273.210871240624,3409.8163068609347,468281.4394755685,140484431.8426705,140.48443184267055
6198,294.0,1268.4080759430508,126.84080759430508,253.68161518861015,380.52242278291527,52258.41272885369,15677523.81865611,15.677523818656105
6199,2710.0,10889.422693098657,1088.9422693098652,2177.8845386197304,3266.826807929596,448644.21495566436,134593264.48669934,134.59326448669938
6200,921.0,3941.4253209267085,394.14253209267093,788.2850641853419,1182.4275962780125,162386.7232221804,48716016.96665413,48.71601696665413
6201,1682.0,7148.230514879978,714.8230514879979,1429.6461029759957,2144.469154463993,294507.0972130551,88352129.16391656,88.35212916391657
6202,1482.0,7029.297407973092,702.9297407973091,1405.8594815946183,2108.789222391928,289607.0532084913,86882115.96254742,86.88211596254742
6203,840.0,5489.972944984568,548.9972944984569,1097.9945889969138,1646.9918834953705,226186.88533336422,67856065.60000926,67.85606560000926
6204,1081.0,4734.230003777964,473.4230003777966,946.8460007555932,1420.2690011333898,195050.27615565225,58515082.84669567,58.51508284669568
6205,894.0,4226.137957036158,422.6137957036157,845.2275914072314,1267.841387110847,174116.88382988967,52235065.14896691,52.235065148966896
6206,43.0,216.38921493116604,21.638921493116605,43.27784298623321,64.91676447934981,8915.23565516404,2674570.696549212,2.674570696549212
6207,410.0,2090.497250542049,209.04972505420494,418.0994501084099,627.1491751626148,86128.48672233244,25838546.016699728,25.83854601669973
6208,1252.0,5599.48758946134,559.9487589461339,1119.8975178922678,1679.8462768384018,230698.8886858072,69209666.60574216,69.20966660574216
6209,1234.0,6637.308544939468,663.7308544939468,1327.4617089878936,1991.1925634818401,273457.11205150606,82037133.61545183,82.03713361545184
6210,125.0,578.7773228349195,57.87773228349195,115.7554645669839,173.63319685047583,23845.62570079869,7153687.710239607,7.153687710239607
6211,838.0,4750.70067120857,475.0700671208569,950.1401342417138,1425.210201362571,195728.8676537931,58718660.296137944,58.71866029613793
6212,717.0,3710.492337949891,371.0492337949891,742.0984675899782,1113.1477013849674,152872.28432353554,45861685.29706065,45.86168529706066
6213,847.0,4124.725346543966,412.47253465439655,824.9450693087931,1237.41760396319,169938.6842776114,50981605.283283405,50.981605283283415
6214,1390.0,5900.93731230713,590.0937312307129,1180.1874624614259,1770.2811936921387,243118.6172670538,72935585.18011613,72.93558518011612
6215,1990.0,8221.54835345214,822.1548353452141,1644.3096706904282,2466.464506035642,338727.79216222826,101618337.64866847,101.61833764866847
6216,1162.0,10169.062405595883,1016.9062405595884,2033.8124811191767,3050.718721678764,418965.37111055036,125689611.33316512,125.68961133316512
6217,595.0,2774.8564672719467,277.48564672719465,554.9712934543893,832.4569401815841,114324.08645160422,34297225.935481265,34.297225935481265
6218,842.0,3610.0123779798823,361.00123779798827,722.0024755959765,1083.0037133939647,148732.50997277113,44619752.99183134,44.61975299183135
6220,2198.0,9442.13400192071,944.2134001920708,1888.4268003841416,2832.6402005762134,389015.92087913316,116704776.26373997,116.70477626373997
6221,409.0,1662.95075067501,166.29507506750102,332.59015013500203,498.88522520250297,68513.57092781042,20554071.278343126,20.554071278343123
6222,1664.0,8038.274651444627,803.8274651444631,1607.6549302889262,2411.4823954333883,331176.91563951864,99353074.69185561,99.3530746918556
6223,3112.0,14496.527190520923,1449.652719052092,2899.305438104184,4348.958157156276,597256.9202494619,179177076.0748386,179.1770760748386
6224,1082.0,6321.385313724181,632.138531372418,1264.277062744836,1896.4155941172542,260441.07492543623,78132322.47763087,78.13232247763086
6225,2512.0,13689.784119957832,1368.9784119957835,2737.956823991567,4106.93523598735,564019.1057422628,169205731.7226788,169.20573172267882
6226,767.0,3904.3555003616066,390.43555003616075,780.8711000723215,1171.306650108482,160859.44661489822,48257833.984469466,48.257833984469464
6227,674.0,3576.293530584115,357.62935305841165,715.2587061168233,1072.8880591752343,147343.29346006556,44202988.03801967,44.20298803801966
6228,1417.0,6280.574314107652,628.0574314107654,1256.1148628215308,1884.1722942322958,258759.66174123526,77627898.52237059,77.6278985223706
6229,1276.0,6010.289278925767,601.0289278925768,1202.0578557851536,1803.08678367773,247623.9182917416,74287175.48752248,74.28717548752252
6230,1381.0,6676.145640212329,667.614564021233,1335.229128042466,2002.8436920636989,275057.200376748,82517160.11302443,82.51716011302439
6231,823.0,3917.0295103137964,391.70295103137965,783.4059020627593,1175.108853094139,161381.61582492842,48414484.74747853,48.414484747478525
6232,833.0,3874.2716230291962,387.4271623029197,774.8543246058395,1162.2814869087586,159619.9908688029,47885997.26064087,47.88599726064087
6233,1132.0,5124.005251662115,512.4005251662115,1024.801050332423,1537.2015754986346,211109.0163684792,63332704.91054376,63.33270491054375
6234,1005.0,4846.880305835883,484.6880305835882,969.3760611671764,1454.0640917507644,199691.46860043835,59907440.58013151,59.9074405801315
6235,1109.0,4151.846755639603,415.1846755639603,830.3693511279206,1245.5540266918808,171056.08633235164,51316825.8997055,51.3168258997055
6236,412.0,2040.3144163160762,204.0314416316077,408.0628832632154,612.094324894823,84060.95395222236,25218286.18566671,25.218286185666706
6237,1051.0,4385.373517606536,438.5373517606537,877.0747035213074,1315.612055281961,180677.38892538927,54203216.67761678,54.20321667761679
6238,1058.0,4658.779677539846,465.87796775398465,931.7559355079693,1397.6339032619535,191941.72271464163,57582516.81439249,57.58251681439248
6239,1475.0,6848.647231497174,684.8647231497172,1369.7294462994344,2054.5941694491517,282164.2659376835,84649279.78130504,84.64927978130504
6240,288.0,1380.7869723681208,138.07869723681208,276.15739447362415,414.23609171043626,56888.42326156658,17066526.97846997,17.066526978469973
6241,1715.0,7593.192816258809,759.3192816258809,1518.6385632517618,2277.957844877642,312839.5440298629,93851863.2089589,93.8518632089589
6243,2821.0,19060.717604573663,1906.0717604573665,3812.143520914733,5718.215281372098,785301.565308435,235590469.59253052,235.5904695925305
6244,1588.0,8437.124307058124,843.7124307058125,1687.424861411625,2531.137292117438,347609.5214507948,104282856.43523844,104.28285643523843
6245,958.0,3959.4332047136068,395.9433204713607,791.8866409427214,1187.829961414082,163128.64803420063,48938594.410260186,48.938594410260194
6246,726.0,3707.7883901462533,370.7788390146254,741.5576780292508,1112.3365170438758,152760.88167402567,45828264.50220769,45.8282645022077
6247,2794.0,15541.733322966486,1554.17333229665,3108.3466645933,4662.519996889945,640319.4129062194,192095823.87186584,192.09582387186578
6248,902.0,5508.507022024836,550.8507022024836,1101.7014044049672,1652.5521066074507,226950.4893074233,68085146.79222694,68.08514679222698
6250,3149.0,15518.00506351749,1551.800506351749,3103.601012703498,4655.401519055246,639341.8086169206,191802542.5850762,191.80254258507617
6251,502.0,2296.571555203138,229.6571555203139,459.3143110406278,688.9714665609415,94618.74807436933,28385624.422310792,28.385624422310798
6252,42.0,225.64650797564764,22.56465079756476,45.12930159512952,67.69395239269429,9296.636128596681,2788990.8385790046,2.7889908385790045
6256,2342.0,13221.58136100746,1322.158136100746,2644.316272201492,3966.4744083022383,544729.1520735074,163418745.6220522,163.41874562205223
6261,1590.0,8080.762917413089,808.0762917413089,1616.1525834826177,2424.228875223927,332927.4321974194,99878229.65922579,99.8782296592258
6262,649.0,4583.743010743152,458.3743010743152,916.7486021486304,1375.1229032229455,188850.21204261784,56655063.612785354,56.65506361278537
6264,1050.0,7545.136857013499,754.5136857013501,1509.0273714027003,2263.5410571040497,310859.6385089561,93257891.55268686,93.25789155268686
6265,898.0,5231.660423611583,523.1660423611581,1046.3320847223163,1569.4981270834742,215544.40945279723,64663322.83583915,64.66332283583915
