origin_tts2022,6117,6118,6123,6125,6168,6171,6173,6174,6177,6178,6179,6181,6182,6184,6185,6187,6188,6189,6190,6193,6195,6196,6197,6198,6199,6200,6201,6202,6203,6204,6205,6206,6207,6208,6209,6210,6211,6212,6213,6214,6215,6216,6217,6218,6220,6221,6222,6223,6224,6225,6226,6227,6228,6229,6230,6231,6232,6233,6234,6235,6236,6237,6238,6239,6240,6241,6243,6244,6245,6246,6247,6248,6250,6251,6252,6256,6261,6262,6264,6265
6117,0,0,0,25.0,0,81.0,45.0,0,0,175.0,0,0,71.0,0,117.0,0,0,10.0,41.0,15.0,0,0,134.0,0,0,0,0,43.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0,0,0
6118,0,0,0,57.0,17.0,0,75.0,0,0,209.0,8.0,6.0,125.0,0,7.0,34.0,0,16.0,0,0,0,0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,10.0,0,0,0
6123,0,0,0,319.0,0,55.0,268.0,14.0,0,0,71.0,5.0,0,0,8.0,0,31.0,59.0,0,0,0,0,100.0,0,24.0,27.0,0,0,44.0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,73.0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0,0,0,0,0,14.0,29.0,0,0,0,0,0,0,16.0,44.0,0,0,0
6125,38.0,82.0,284.0,0,20.0,0,80.0,4.0,0,75.0,45.0,0,149.0,0,28.0,0,168.0,0,156.0,0,89.0,0,48.0,26.0,76.0,39.0,0,0,123.0,0,0,0,0,0,0,0,29.0,39.0,35.0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,113.0,0,0,0,0
6168,0,61.0,26.0,20.0,0,68.0,32.0,0,22.0,11.0,0,0,0,0,0,26.0,0,14.0,19.0,0,24.0,0,18.0,0,14.0,33.0,18.0,0,33.0,23.0,0,43.0,0,0,0,0,0,0,20.0,0,0,0,0,0,17.0,0,0,127.0,0,0,20.0,0,0,0,76.0,0,37.0,0,0,0,0,48.0,0,22.0,0,11.0,24.0,0,0,0,0,0,0,0,0,47.0,76.0,0,25.0,24.0
6171,68.0,0,55.0,0,84.0,0,0,0,8.0,0,188.0,0,194.0,0,209.0,0,0,36.0,21.0,9.0,0,0,65.0,0,334.0,19.0,0,323.0,97.0,0,0,0,0,0,0,0,67.0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,29.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,364.0,0,18.0,55.0,0
6173,169.0,30.0,252.0,80.0,66.0,0,0,96.0,0,22.0,0,0,618.0,0,51.0,10.0,0,40.0,8.0,32.0,0,16.0,143.0,0,55.0,58.0,25.0,28.0,29.0,276.0,23.0,0,0,5.0,0,0,0,65.0,0,0,0,72.0,0,0,39.0,0,0,26.0,17.0,51.0,0,0,0,16.0,0,67.0,0,27.0,11.0,0,0,0,0,48.0,0,0,0,0,0,36.0,17.0,0,29.0,0,0,0,169.0,42.0,0,0
6174,0,0,0,4.0,0,0,77.0,0,27.0,0,104.0,0,0,0,89.0,11.0,0,0,70.0,26.0,0,30.0,0,0,7.0,0,0,0,0,0,0,0,53.0,0,33.0,0,0,0,0,0,0,0,117.0,0,0,0,41.0,0,0,0,0,0,0,0,0,27.0,0,15.0,0,0,0,0,0,0,0,10.0,96.0,141.0,0,0,10.0,0,0,0,0,0,0,0,0,0
6177,0,0,0,0,22.0,140.0,0,0,0,15.0,0,20.0,25.0,0,0,16.0,0,0,29.0,0,0,0,26.0,0,0,0,0,0,9.0,0,0,0,0,7.0,0,0,16.0,0,0,0,0,52.0,0,0,0,0,0,35.0,0,0,0,0,0,17.0,0,0,0,13.0,7.0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,36.0,0,0
