FID_TAZ2022_Ham_Cen,TTS2022,PD_no,PD_name,Mun_no,Mun_name,Reg_no,Reg_name,Internal,Shape_Leng,ORIG_FID,FID_LRTRoute_2kmBuffer,x_coordinate,y_coordinate
217,6218,46,Hamilton,46,Hamilton,6,City of Hamilton,5168,2593.777524850000191,217,1,591981.243700000457466,4789271.037499999627471
219,6220,46,Hamilton,46,Hamilton,6,City of Hamilton,5170,2979.922440549999919,219,1,593865.855000000447035,4789423.188899999484420
222,6223,46,Hamilton,46,Hamilton,6,City of Hamilton,5173,2464.812874419999844,222,1,596557.335199999623001,4789483.069399999454618
221,6222,46,Hamilton,46,Hamilton,6,City of Hamilton,5172,3040.047471930000029,221,1,592220.123900000005960,4789492.180199999362230
220,6221,46,Hamilton,46,Hamilton,6,City of Hamilton,5171,1474.904984759999934,220,1,591451.081500000320375,4789501.204500000923872
223,6224,46,Hamilton,46,Hamilton,6,City of Hamilton,5174,2494.012684559999798,223,1,590586.021499999798834,4789503.865599999204278
225,6226,46,Hamilton,46,Hamilton,6,City of Hamilton,5176,3397.764865709999867,225,1,595680.563599999994040,4789510.282800000160933
224,6225,46,Hamilton,46,Hamilton,6,City of Hamilton,5175,6612.025567810000211,224,1,587595.421299999579787,4789538.324799999594688
226,6227,46,Hamilton,46,Hamilton,6,City of Hamilton,5179,1502.668355269999893,226,1,591054.822999999858439,4789620.737999999895692
227,6228,46,Hamilton,46,Hamilton,6,City of Hamilton,5180,3307.529621199999838,227,1,590013.061999999918044,4789628.757099999114871
228,6229,46,Hamilton,46,Hamilton,6,City of Hamilton,5181,2997.548508119999951,228,1,593064.703900000080466,4789692.938699999824166
263,6264,46,Hamilton,46,Hamilton,6,City of Hamilton,5029,6437.289026530000228,263,1,597525.356300000101328,4789767.436799999326468
229,6230,46,Hamilton,46,Hamilton,6,City of Hamilton,5183,3338.028752910000094,229,1,594878.838999999687076,4789789.459100000560284
231,6232,46,Hamilton,46,Hamilton,6,City of Hamilton,5185,5091.560460890000286,231,1,589285.103699999861419,4789835.544700000435114
230,6231,46,Hamilton,46,Hamilton,6,City of Hamilton,5184,1556.850764029999937,230,1,591549.446999999694526,4789837.616299999877810
233,6234,46,Hamilton,46,Hamilton,6,City of Hamilton,5187,1660.019787449999967,233,1,591153.314699999988079,4789968.487199999392033
232,6233,46,Hamilton,46,Hamilton,6,City of Hamilton,5186,2328.927789049999774,232,1,592380.384600000455976,4789975.823300000280142
234,6235,46,Hamilton,46,Hamilton,6,City of Hamilton,5188,3133.372999400000026,234,1,594068.291100000031292,4790074.966299999505281
235,6236,46,Hamilton,46,Hamilton,6,City of Hamilton,5190,1418.597725079999918,235,1,591972.156200000084937,4790127.724999999627471
236,6237,46,Hamilton,46,Hamilton,6,City of Hamilton,5192,2685.804801769999813,236,1,590518.000799999572337,4790206.238399999216199
237,6238,46,Hamilton,46,Hamilton,6,City of Hamilton,5193,1745.090854230000105,237,1,591672.326899999752641,4790232.490700000897050
238,6239,46,Hamilton,46,Hamilton,6,City of Hamilton,5194,3103.453892080000060,238,1,593257.135400000028312,4790338.766000000759959
239,6240,46,Hamilton,46,Hamilton,6,City of Hamilton,5195,1801.741440880000027,239,1,591275.791199999861419,4790355.260700000450015
250,6251,46,Hamilton,46,Hamilton,6,City of Hamilton,5024,5191.260477810000339,250,1,595366.496700000017881,4790397.796499999240041
242,6243,46,Hamilton,46,Hamilton,6,City of Hamilton,5198,6487.587597339999775,242,1,587392.239500000141561,4790574.317199999466538
243,6244,46,Hamilton,46,Hamilton,6,City of Hamilton,5199,3057.976147849999961,243,1,592441.813299999572337,4790586.021199999377131
240,6241,46,Hamilton,46,Hamilton,6,City of Hamilton,5196,5210.031023450000248,240,1,588601.787600000388920,4790744.392699999734759
244,6245,46,Hamilton,46,Hamilton,6,City of Hamilton,5200,3459.310453330000200,244,1,590528.107300000265241,4790744.931399999186397
245,6246,46,Hamilton,46,Hamilton,6,City of Hamilton,5201,3137.197921330000099,245,1,591621.757799999788404,4790832.352800000458956
264,6265,46,Hamilton,46,Hamilton,6,City of Hamilton,5022,4367.479631389999668,264,1,593747.965699999593198,4790921.131100000813603
247,6248,46,Hamilton,46,Hamilton,6,City of Hamilton,5204,2596.397340380000060,247,1,590923.310200000181794,4791111.703999999910593
246,6247,46,Hamilton,46,Hamilton,6,City of Hamilton,5203,6040.054242430000158,246,1,589516.379099999554455,4791194.612700000405312
249,6250,46,Hamilton,46,Hamilton,6,City of Hamilton,5208,8529.334974539999166,249,1,592347.588700000196695,4791543.046800000593066
251,6252,46,Hamilton,46,Hamilton,6,City of Hamilton,5211,11388.827858099999503,251,1,589994.195700000040233,4792430.732699999585748
